               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.012772,           0.0045864,                   0,             0.99991,                   1,               0.995,             0.91446,           0.0069569,           0.0018978,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.012697,           0.0044941,                   0,             0.99988,                   1,               0.995,             0.92055,           0.0064131,           0.0018936,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.012862,           0.0045847,                   0,             0.99991,                   1,               0.995,             0.93062,           0.0065199,           0.0018538,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.012596,           0.0044387,                   0,             0.99971,                   1,               0.995,             0.91056,           0.0069433,           0.0019992,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.012966,           0.0045956,                   0,             0.99991,                   1,               0.995,             0.92032,           0.0065461,           0.0018594,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.012812,           0.0045432,                   0,              0.9999,                   1,               0.995,             0.91785,           0.0068385,           0.0018701,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.012477,           0.0044271,                   0,             0.99991,                   1,               0.995,             0.91981,           0.0066357,           0.0019353,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.012495,           0.0044583,                   0,              0.9999,                   1,               0.995,             0.92446,           0.0067247,           0.0018768,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.012556,           0.0044579,                   0,             0.99991,                   1,               0.995,             0.90994,           0.0069751,           0.0020595,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.012485,           0.0044434,                   0,             0.99992,                   1,               0.995,             0.92299,           0.0068142,           0.0018724,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.012188,           0.0044492,                   0,             0.99991,                   1,               0.995,             0.93007,           0.0062107,           0.0018776,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.012387,           0.0044709,                   0,             0.99991,                   1,               0.995,             0.92928,           0.0062949,           0.0018468,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.012169,           0.0043066,                   0,             0.99992,                   1,               0.995,             0.90892,           0.0071061,           0.0019401,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.012186,           0.0044156,                   0,             0.99991,                   1,               0.995,             0.91775,            0.006682,            0.001903,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.012327,           0.0044274,                   0,             0.99991,                   1,               0.995,             0.92143,           0.0062431,           0.0018793,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.012137,           0.0043514,                   0,             0.99991,                   1,               0.995,             0.92237,           0.0067018,           0.0018549,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.012054,           0.0043635,                   0,             0.99991,                   1,               0.995,             0.92245,           0.0068285,           0.0019387,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.011784,           0.0043578,                   0,             0.99991,                   1,               0.995,             0.91466,           0.0067188,           0.0018616,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.011949,           0.0043768,                   0,             0.99992,                   1,               0.995,             0.90477,            0.007331,           0.0019115,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.011781,           0.0043723,                   0,             0.99991,                   1,               0.995,             0.93141,           0.0063261,           0.0018444,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.012044,           0.0043003,                   0,             0.99992,                   1,               0.995,             0.92389,           0.0064655,            0.001801,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.011902,           0.0043475,                   0,             0.99992,                   1,               0.995,             0.93229,           0.0063256,           0.0018489,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.012075,           0.0043616,                   0,              0.9999,                   1,               0.995,             0.92148,           0.0063622,           0.0018382,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.011628,           0.0042648,                   0,             0.99991,                   1,               0.995,             0.91398,           0.0068656,           0.0018895,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.011698,           0.0043181,                   0,             0.99991,                   1,               0.995,             0.92505,           0.0066768,           0.0019478,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.011621,           0.0043296,                   0,             0.99989,                   1,               0.995,             0.92844,           0.0065168,            0.001812,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.011815,           0.0041921,                   0,             0.99991,                   1,               0.995,             0.92365,           0.0064085,           0.0018559,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.011671,           0.0042825,                   0,             0.99991,                   1,               0.995,              0.9226,           0.0066696,           0.0018509,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.01158,           0.0042773,                   0,             0.99991,                   1,               0.995,              0.9279,           0.0064535,           0.0019155,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.011406,           0.0042122,                   0,             0.99992,                   1,               0.995,             0.92336,           0.0065223,           0.0018268,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.011633,           0.0042847,                   0,             0.99991,                   1,               0.995,             0.93021,           0.0061823,           0.0017867,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.011414,           0.0041931,                   0,             0.99991,                   1,               0.995,             0.92689,           0.0064459,           0.0018158,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.011452,           0.0041594,                   0,             0.99991,                   1,               0.995,             0.93708,           0.0061175,           0.0017917,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.011531,            0.004233,                   0,             0.99991,                   1,               0.995,             0.92752,           0.0067034,           0.0018602,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.011338,           0.0041682,                   0,             0.99991,                   1,               0.995,             0.92528,           0.0064717,           0.0018467,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.011374,           0.0041947,                   0,             0.99991,                   1,               0.995,             0.92908,           0.0063026,           0.0018777,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.011453,            0.004248,                   0,             0.99991,                   1,               0.995,             0.92728,           0.0064458,           0.0018952,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.01139,           0.0041553,                   0,             0.99991,                   1,               0.995,             0.92943,           0.0063857,           0.0018166,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.011498,            0.004235,                   0,             0.99991,                   1,               0.995,             0.91816,            0.006822,           0.0018613,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.01125,           0.0041757,                   0,             0.99991,                   1,               0.995,             0.92877,            0.006173,           0.0018139,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.011335,           0.0041019,                   0,             0.99991,                   1,               0.995,             0.92344,           0.0063656,           0.0018641,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.011245,           0.0041806,                   0,             0.99991,                   1,               0.995,             0.92628,           0.0066804,           0.0019363,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.011145,           0.0041444,                   0,             0.99992,                   1,               0.995,             0.93307,           0.0062419,           0.0018134,                   0,             0.00736,             0.00736,             0.00736
